timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764782541098,577,HTTP Request,200,OK,Test Youtube 1-13,text,true,,715498,232,1,1,https://www.youtube.com/,110,0,67
1764782541098,110,HTTP Request-0,301,Moved Permanently,Test Youtube 1-13,text,true,,1591,114,1,1,https://youtube.com/,110,0,67
1764782541209,466,HTTP Request-1,200,OK,Test Youtube 1-13,text,true,,713907,118,1,1,https://www.youtube.com/,223,0,89
1764782541712,803,HTTP Request 1,200,OK,Test facebook 2-16,text,true,,73618,234,1,2,https://www.facebook.com/,304,0,94
1764782541712,304,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-16,text,true,,498,115,1,2,https://facebook.com/,304,0,94
1764782542016,499,HTTP Request 1-1,200,OK,Test facebook 2-16,text,true,,73120,119,1,2,https://www.facebook.com/,389,0,99
1764782542298,642,HTTP Request,200,OK,Test Youtube 1-14,text,true,,714374,232,1,2,https://www.youtube.com/,148,0,81
1764782542298,148,HTTP Request-0,301,Moved Permanently,Test Youtube 1-14,text,true,,1591,114,1,2,https://youtube.com/,148,0,81
1764782542447,493,HTTP Request-1,200,OK,Test Youtube 1-14,text,true,,712783,118,1,2,https://www.youtube.com/,219,0,95
1764782542718,899,HTTP Request 1,200,OK,Test facebook 2-17,text,true,,441405,234,1,2,https://www.facebook.com/,296,0,92
1764782542718,296,HTTP Request 1-0,301,Moved Permanently,Test facebook 2-17,text,true,,498,115,1,2,https://facebook.com/,296,0,92
1764782543014,603,HTTP Request 1-1,200,OK,Test facebook 2-17,text,true,,440907,119,1,2,https://www.facebook.com/,363,0,73
1764782543505,634,HTTP Request,200,OK,Test Youtube 1-15,text,true,,716601,232,1,2,https://www.youtube.com/,153,0,103
1764782543505,153,HTTP Request-0,301,Moved Permanently,Test Youtube 1-15,text,true,,1561,114,1,2,https://youtube.com/,153,0,103
1764782543659,480,HTTP Request-1,200,OK,Test Youtube 1-15,text,true,,715040,118,1,2,https://www.youtube.com/,223,0,94
